Protein,Centrality
COL6A1,0.16216216216216217
PRELP,0.16216216216216217
SYNPO2,0.16216216216216217
PTGDS,0.10810810810810811
CLEC11A,0.10810810810810811
ANXA1,0.10810810810810811
CD34,0.10810810810810811
APOH,0.10810810810810811
VWF,0.10810810810810811
SLC39A7,0.08108108108108109
MYLK4,0.08108108108108109
ALDH1A2,0.08108108108108109
COMP,0.08108108108108109
RAI14,0.08108108108108109
ATP5G2,0.08108108108108109
VKORC1,0.05405405405405406
CDKL1,0.05405405405405406
BUD31,0.05405405405405406
TNC,0.05405405405405406
C10orf35,0.05405405405405406
RPS12,0.02702702702702703
ACSF2,0.02702702702702703
TARDBP,0.02702702702702703
ATP8B1,0.02702702702702703
WDR19,0.02702702702702703
TMOD2,0.02702702702702703
SNX3,0.02702702702702703
RARS,0.02702702702702703
PYCRL,0.02702702702702703
CCAR1,0.02702702702702703
C16orf62,0.02702702702702703
VIPAS39,0.02702702702702703
TMEM70,0.02702702702702703
UQCR10,0.02702702702702703
ATP6AP1,0.02702702702702703
PTRH2,0.02702702702702703
PTPN3,0.02702702702702703
TCP11L2,0.02702702702702703
