source,target,weight
CLEC11A,COMP,0.8264330387310908
COMP,PRELP,0.7177794909449732
ANO10,TM9SF2,0.70767266949389
WDR36,BRIX1,0.7017000241007765
BRIX1,RBM28,0.7105031433376732
PTGDS,APOH,0.7326701098845653
PTGDS,PRELP,0.720611811011424
APOH,PRELP,0.723946017940612
VWF,CD34,0.7196009721665197
SLC39A7,VKORC1,0.7683598740401708
