Protein
WDR60
CAPN5
SCAF8
SMOC1
PIK3R4
DFNA5
N6AMT1
MYLK4
G6PD
SMG5
CLEC11A
WRB-SH3BGR
CDKL1
ZYG11B
SLC9A1
SFXN2
TRA2B
HIBADH
ATAT1
ANO10
WDR36
PROM1
TM9SF2
UBR1
RBBP5
WDR48
PYCRL
AGO4
RBM10
ARHGAP45
PTGDS
RGN
BLOC1S3
RDH10
B4GAT1
C11orf98
RAP2C
ANXA1
RECQL
ANXA8L1
ATG7
RAI14
ZNF652
ZNF655
WDR19
WDR26
AHDC1
RNASEH2A
TICAM1
PURB
AIP
TPPP2
TXNDC16
VPS4A
TFG
ACADVL
CNOT1
TARDBP
ZNF567
TYK2
CDC73
TGFB2
RARS
TPR
TPRG1
AKAP17A
ZNF414
TAF10
VWF
SP6
SNX17
VPS13B
SNX2
CALML3
SESN3
CLK2
AKAP9
SLC39A7
CD34
BAZ1A
BAZ2A
TUT1
VPS35
TWF1
CECR1
ACPP
ACSF2
VPS37C
VPS39
C16orf62
RPS12
RPS15A
SYNPO2
TWSG1
STAM2
SNX27
SNX3
SEPT9
VHL
VIPAS39
VKORC1
ALDH1A2
TTC9C
RHOT2
TNC
RBM28
SNRNP48
UTP11
ZFR2
ATP5G2
CHFR
PTPN12
ARMC5
SCGB1D2
COL6A1
TDRKH
BRCC3
CBX6
TMEM70
CHTF18
RPL30
TSSC4
ATP6AP1
BRD9
SIAE
USP15
COMP
CDK12
CIAPIN1
APOH
ZFAND3
TESK2
TMOD2
TTC38
SENP7
CLTC
CDK2
USP48
BRIX1
ZBTB40
PTPN3
UQCR10
SMG8
RNF123
SH2D3C
CBX8
URI1
COL24A1
ATP8B1
CCAR1
AMPH
AMZ2
TSPAN13
ZC3HAV1L
RINT1
UHRF1BP1
CCDC12
YY1
UHRF2
TCP11L2
C1orf21
RPL37A
ANAPC7
C1orf50
RAD1
SPIN1
COL9A2
ZBTB33
RAVER1
ANKLE2
SASS6
TMED2
TMED5
XRN2
CD8A
RBP5
CMC2
CMPK2
RPS27L
SIVA1
PTRH2
BUD31
RPA1
YPEL5
PSMC5
PRRC2B
RANBP9
C10orf35
BIN3
PRMT1
PRMT5
PRNP
PRELP
PRG3
CPNE1
PRKAR2A
CPPED1
CPS1
PPM1K
PPID
